City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
B,5.73,100.51,78.8,94,20,2.24,MY,1593555336
F,54.43,-124.25,62.31,68,87,6.38,CA,1593555336
T,37.32,-79.26,87.8,48,1,3.22,US,1593555337
M,27.28,95.68,75.79,91,95,2.3,IN,1593555143
A,5.79,0.9,78.8,83,20,8.05,GH,1593555337
S,5.38,-52.95,79.54,84,35,9.44,GF,1593555337
G,-8.1,156.84,81.95,75,50,4.65,SB,1593555337
M,-20.73,139.5,59.0,58,14,4.7,AU,1593555337
P,-20.23,164.02,69.33,62,0,17.58,NC,1593555337
D,38.06,30.17,73.4,40,0,11.41,TR,1593555337
A,-13.68,48.45,68.45,76,0,3.56,MG,1593555337
C,13.32,123.71,78.53,86,40,5.14,PH,1593555338
U,-9.84,-39.48,72.95,66,14,9.33,BR,1593555338
W,53.39,-2.58,59.0,82,74,4.7,GB,1593555333
M,25.45,74.57,88.34,47,91,7.02,IN,1593555338
T,-46.13,167.68,39.0,83,98,3.0,NZ,1593555338
D,17.08,122.42,79.57,81,92,3.4,PH,1593555338
S,37.57,126.98,64.4,100,100,1.12,KR,1593555170
M,-9.67,-35.74,73.4,94,20,2.24,BR,1593555316
C,37.68,-113.06,75.2,11,1,12.75,US,1593555338
A,18.64,72.88,80.6,94,90,4.7,IN,1593555338
A,-14.9,50.28,66.34,86,2,6.17,MG,1593555339
B,68.38,17.6,46.4,87,100,11.41,NO,1593555339
F,58.09,6.8,59.0,80,2,15.99,NO,1593555339
C,20.62,-88.22,96.26,39,5,5.66,MX,1593555339
O,46.46,10.35,62.6,93,59,6.93,IT,1593555339
K,49.82,-94.43,84.2,58,75,8.05,CA,1593555339
K,54.05,-128.65,69.01,53,50,1.99,CA,1593555339
M,-15.72,46.32,69.8,94,20,3.36,MG,1593555339
D,73.51,80.55,46.74,87,96,8.88,RU,1593555340
D,39.82,109.98,68.4,47,100,4.16,CN,1593555340
C,21.46,-71.14,86.0,66,40,11.41,TC,1593555340
L,17.96,-102.2,85.68,67,0,11.92,MX,1593555340
R,32.35,-85.2,75.2,88,75,6.93,US,1593555340
C,-20.1,146.27,62.33,85,74,12.88,AU,1593555340
Ä,62.69,25.82,57.2,87,20,9.17,FI,1593555340
L,28.66,-17.92,71.6,78,75,14.99,ES,1593555340
N,41.28,-70.1,72.0,77,90,5.82,US,1593555142
R,-43.3,-65.1,45.72,90,100,19.46,AR,1593555341
D,69.41,86.18,53.6,93,40,15.66,RU,1593555168
A,-8.77,160.7,81.32,74,7,3.47,SB,1593555341
S,12.58,-81.7,86.0,74,90,10.29,CO,1593555111
D,13.52,35.77,76.69,57,100,13.78,SD,1593555341
I,27.2,60.68,96.8,44,13,6.93,IR,1593555341
R,61.99,5.14,52.0,79,68,26.62,NO,1593555148
A,18.9,-3.53,93.9,28,1,11.56,ML,1593555341
V,-33.75,-61.97,48.0,85,100,15.01,AR,1593555341
I,69.22,-51.1,44.6,70,75,5.82,GL,1593555342
K,50.3,103.31,53.51,82,12,2.44,RU,1593555124
S,-34.62,-68.33,46.22,56,93,5.93,AR,1593555333
M,6.3,-10.8,77.0,94,75,10.02,LR,1593555342
H,29.76,-95.36,93.0,62,75,18.34,US,1593555147
